               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062387,            0.024734,            0.025898,             0.36324,             0.46039,             0.36183,             0.14196,            0.035881,           0.0083958,            0.014233,            0.070122,           0.0033197,           0.0033197
                   1,            0.044262,            0.018183,            0.011217,             0.68415,             0.64391,             0.63757,             0.25283,            0.035872,           0.0073979,            0.014346,            0.040057,           0.0065872,           0.0065872
                   2,            0.041292,            0.016963,           0.0088267,             0.58348,             0.53517,              0.5188,             0.19231,            0.035016,           0.0080093,           0.0085502,           0.0099247,           0.0097887,           0.0097887
                   3,            0.039663,            0.017462,            0.010857,              0.5225,             0.49438,             0.50953,             0.21278,            0.038089,           0.0078247,            0.011086,            0.009703,            0.009703,            0.009703
                   4,            0.038311,            0.017006,           0.0094357,             0.67063,             0.60435,             0.58985,             0.24587,            0.034606,           0.0080599,           0.0047182,            0.009703,            0.009703,            0.009703
                   5,            0.037186,             0.01717,           0.0087665,             0.59922,             0.55699,             0.52777,             0.24376,            0.039451,           0.0078963,           0.0034213,            0.009604,            0.009604,            0.009604
                   6,            0.036129,            0.017042,           0.0084553,             0.66709,              0.6201,             0.60867,              0.2668,            0.032634,           0.0078813,           0.0097051,            0.009505,            0.009505,            0.009505
                   7,            0.035145,            0.016627,           0.0063341,             0.65033,             0.60349,             0.57668,             0.27444,            0.035692,           0.0075277,           0.0031043,            0.009406,            0.009406,            0.009406
                   8,            0.033828,            0.016612,           0.0063448,             0.69921,             0.62668,             0.61482,             0.28122,            0.032245,           0.0075299,           0.0053123,            0.009307,            0.009307,            0.009307
                   9,             0.03324,            0.016413,           0.0057096,             0.65416,             0.64785,              0.6163,             0.27433,            0.032431,           0.0074226,            0.011012,            0.009208,            0.009208,            0.009208
                  10,             0.03284,            0.016231,           0.0061424,             0.72652,             0.64731,             0.65602,             0.33107,            0.032436,           0.0073511,           0.0029544,            0.009109,            0.009109,            0.009109
                  11,            0.033327,            0.015827,            0.005781,             0.62881,             0.62546,             0.60251,             0.29498,            0.031618,           0.0076399,           0.0065891,             0.00901,             0.00901,             0.00901
                  12,            0.030464,            0.015467,           0.0048946,             0.67735,             0.66185,             0.63746,             0.33247,             0.03149,           0.0073703,           0.0033514,            0.008911,            0.008911,            0.008911
                  13,            0.029804,            0.015437,           0.0044204,             0.67424,              0.6567,             0.64931,             0.33366,            0.030595,           0.0071286,           0.0035705,            0.008812,            0.008812,            0.008812
                  14,            0.031363,            0.015212,           0.0042207,             0.71384,             0.65441,             0.66168,             0.34631,            0.030424,           0.0069331,           0.0025169,            0.008713,            0.008713,            0.008713
                  15,             0.02961,             0.01529,           0.0048977,             0.72333,             0.68828,             0.67819,             0.35475,            0.030414,           0.0071044,           0.0012252,            0.008614,            0.008614,            0.008614
                  16,            0.029067,            0.015145,           0.0037722,             0.68738,             0.67356,             0.66956,             0.33844,            0.031106,            0.006973,           0.0021623,            0.008515,            0.008515,            0.008515
                  17,            0.029652,            0.015052,           0.0040333,             0.65779,              0.6135,             0.62517,             0.31034,            0.031478,           0.0070554,           0.0081547,            0.008416,            0.008416,            0.008416
                  18,            0.028553,            0.015048,           0.0039201,             0.66778,             0.63884,              0.6241,             0.33166,            0.031293,            0.007371,            0.001673,            0.008317,            0.008317,            0.008317
                  19,            0.028258,            0.015102,           0.0035902,             0.75364,             0.73113,              0.7347,             0.38329,            0.029367,           0.0067397,          0.00098304,            0.008218,            0.008218,            0.008218
                  20,            0.028421,            0.014942,           0.0036963,             0.77524,             0.69005,             0.71191,             0.35851,            0.030726,           0.0068924,           0.0052398,            0.008119,            0.008119,            0.008119
                  21,            0.027807,            0.014762,           0.0031215,             0.73742,             0.68445,             0.68067,             0.35362,            0.029991,           0.0069623,           0.0026239,             0.00802,             0.00802,             0.00802
                  22,            0.028923,            0.014887,           0.0040106,             0.73814,             0.69755,             0.67284,             0.30949,            0.033113,           0.0073126,           0.0039866,            0.007921,            0.007921,            0.007921
                  23,            0.027743,             0.01473,            0.003526,             0.73781,             0.72757,             0.72481,             0.36416,            0.030219,           0.0067739,           0.0018886,            0.007822,            0.007822,            0.007822
                  24,            0.027246,            0.014466,            0.003176,             0.76139,             0.73696,              0.7232,             0.36596,            0.030413,           0.0067594,          0.00077624,            0.007723,            0.007723,            0.007723
                  25,            0.026622,            0.014195,           0.0026583,             0.81615,             0.75581,             0.78115,             0.40691,            0.028454,           0.0066212,            0.001059,            0.007624,            0.007624,            0.007624
                  26,            0.026676,            0.014152,           0.0030077,             0.76424,             0.70493,             0.72393,              0.3882,             0.02868,           0.0067923,           0.0032714,            0.007525,            0.007525,            0.007525
                  27,            0.026491,            0.014281,           0.0031603,             0.73108,             0.67526,             0.67333,             0.35457,            0.030651,            0.007078,           0.0068038,            0.007426,            0.007426,            0.007426
                  28,            0.027009,            0.014283,           0.0031956,             0.75343,             0.70834,             0.71292,             0.37717,            0.029447,           0.0068817,            0.003439,            0.007327,            0.007327,            0.007327
                  29,            0.026908,            0.014142,           0.0028267,             0.76911,             0.72952,             0.72273,             0.36954,            0.028988,           0.0068904,           0.0013281,            0.007228,            0.007228,            0.007228
                  30,            0.026065,            0.014186,           0.0023185,             0.70645,             0.69067,             0.67176,             0.35043,            0.030499,           0.0069238,            0.003807,            0.007129,            0.007129,            0.007129
                  31,            0.025931,             0.01414,           0.0022583,             0.76411,             0.73871,             0.73933,              0.3856,            0.028727,           0.0066124,           0.0019312,             0.00703,             0.00703,             0.00703
                  32,            0.025656,            0.014045,           0.0021539,             0.76218,             0.69166,             0.71317,             0.36722,            0.029678,           0.0070466,            0.010026,            0.006931,            0.006931,            0.006931
                  33,            0.026649,            0.013854,           0.0022321,             0.71783,             0.68971,             0.68482,             0.36546,            0.029477,           0.0068996,            0.002809,            0.006832,            0.006832,            0.006832
                  34,            0.025076,            0.013676,           0.0022036,             0.78665,             0.75487,             0.76053,             0.40427,            0.028902,           0.0066045,          0.00063594,            0.006733,            0.006733,            0.006733
                  35,            0.024133,            0.013703,           0.0019045,             0.76543,             0.71024,             0.73788,             0.38872,            0.029047,            0.006632,           0.0040368,            0.006634,            0.006634,            0.006634
                  36,            0.025305,            0.013487,           0.0021541,             0.73581,             0.68447,             0.69703,             0.37255,            0.029192,           0.0067019,           0.0051104,            0.006535,            0.006535,            0.006535
                  37,             0.02476,            0.013764,           0.0024972,             0.75881,             0.69941,               0.716,             0.37975,            0.029163,           0.0066903,           0.0031744,            0.006436,            0.006436,            0.006436
                  38,            0.024066,            0.013482,           0.0020034,             0.77519,             0.71504,             0.72286,             0.37158,            0.030417,           0.0068894,           0.0020519,            0.006337,            0.006337,            0.006337
                  39,            0.024605,            0.013582,           0.0018233,             0.76454,             0.74038,             0.74646,             0.37975,             0.02939,           0.0065908,           0.0015452,            0.006238,            0.006238,            0.006238
                  40,            0.023657,            0.013384,           0.0019225,             0.76295,             0.73232,             0.73394,             0.40456,            0.028424,           0.0066455,           0.0015572,            0.006139,            0.006139,            0.006139
                  41,            0.023649,            0.013687,           0.0023209,             0.76335,             0.73373,             0.73122,             0.39928,            0.028981,           0.0065886,            0.001645,             0.00604,             0.00604,             0.00604
                  42,            0.023792,            0.013451,           0.0017805,             0.78821,             0.74152,             0.74876,             0.39106,            0.029132,           0.0065471,           0.0021869,            0.005941,            0.005941,            0.005941
                  43,            0.023818,            0.013421,           0.0015176,             0.79094,             0.75158,             0.76223,             0.41146,            0.029122,           0.0066367,            0.001468,            0.005842,            0.005842,            0.005842
                  44,             0.02453,            0.013606,           0.0024022,             0.76151,             0.72811,             0.74043,             0.39263,            0.029477,            0.006796,           0.0033428,            0.005743,            0.005743,            0.005743
                  45,            0.024852,            0.013431,           0.0024811,             0.76516,              0.7311,              0.7201,             0.39552,            0.029227,           0.0067471,           0.0019714,            0.005644,            0.005644,            0.005644
                  46,             0.02433,            0.013422,           0.0021394,             0.76191,             0.72002,             0.72888,             0.39499,            0.029554,           0.0067963,           0.0022988,            0.005545,            0.005545,            0.005545
                  47,            0.023937,            0.013451,           0.0025367,             0.79509,              0.7638,             0.78327,              0.4169,            0.027526,           0.0066165,           0.0014805,            0.005446,            0.005446,            0.005446
                  48,            0.024187,            0.013778,           0.0020737,             0.77676,             0.75472,             0.76507,             0.40442,             0.02908,           0.0064586,           0.0027943,            0.005347,            0.005347,            0.005347
                  49,            0.023496,            0.013679,           0.0017207,              0.7416,             0.71096,             0.72533,             0.39631,            0.029464,           0.0066855,           0.0021893,            0.005248,            0.005248,            0.005248
                  50,            0.022963,             0.01324,           0.0019692,              0.7703,             0.73804,             0.74368,             0.40645,            0.028561,           0.0066107,           0.0016382,            0.005149,            0.005149,            0.005149
                  51,            0.024025,            0.013372,           0.0017642,             0.78991,             0.76926,             0.77173,             0.40537,            0.028725,           0.0065991,           0.0018091,             0.00505,             0.00505,             0.00505
                  52,            0.023619,            0.013231,            0.001544,             0.72437,             0.69982,             0.70618,             0.39084,            0.030078,           0.0066896,           0.0031188,            0.004951,            0.004951,            0.004951
                  53,            0.023222,            0.013261,           0.0020417,              0.7533,             0.72863,             0.74673,             0.39887,            0.029045,           0.0065972,           0.0014129,            0.004852,            0.004852,            0.004852
                  54,            0.023827,            0.013457,           0.0022257,             0.76266,             0.72843,             0.74009,             0.40321,            0.028869,           0.0067402,           0.0016441,            0.004753,            0.004753,            0.004753
                  55,            0.023785,            0.013229,           0.0019857,             0.80404,             0.76281,             0.77222,             0.42021,            0.028429,           0.0065387,           0.0012721,            0.004654,            0.004654,            0.004654
                  56,            0.023328,            0.013384,           0.0015276,             0.78141,             0.75129,             0.77089,             0.41472,            0.029502,           0.0065442,           0.0014759,            0.004555,            0.004555,            0.004555
                  57,            0.021933,            0.013098,           0.0018918,             0.76047,             0.73141,             0.74518,             0.41132,            0.028932,           0.0066371,            0.003299,            0.004456,            0.004456,            0.004456
                  58,            0.022373,            0.012978,            0.001721,             0.78079,             0.73519,             0.75695,             0.40799,            0.028832,           0.0065587,           0.0019467,            0.004357,            0.004357,            0.004357
                  59,            0.022521,            0.012972,            0.001547,             0.74979,             0.71584,             0.72788,             0.40276,            0.028971,           0.0066158,           0.0020314,            0.004258,            0.004258,            0.004258
                  60,            0.022817,            0.013052,           0.0013612,             0.78465,             0.76639,              0.7677,             0.43175,            0.027779,           0.0065857,           0.0010639,            0.004159,            0.004159,            0.004159
                  61,            0.022608,            0.012857,           0.0013408,             0.77517,              0.7381,             0.75515,             0.41093,            0.028921,           0.0066109,           0.0016386,             0.00406,             0.00406,             0.00406
                  62,            0.022158,            0.012769,           0.0014739,             0.78879,             0.76373,             0.76535,             0.40946,            0.028593,           0.0065866,           0.0010027,            0.003961,            0.003961,            0.003961
                  63,            0.021442,            0.012765,           0.0012035,             0.79672,             0.76536,             0.78685,             0.42771,            0.027688,           0.0064699,           0.0014998,            0.003862,            0.003862,            0.003862
                  64,            0.021232,            0.012552,           0.0011133,             0.75956,             0.73592,             0.73575,             0.40156,            0.029139,           0.0067059,           0.0013392,            0.003763,            0.003763,            0.003763
                  65,            0.021154,            0.012397,           0.0014151,             0.76418,             0.74107,             0.75552,             0.43028,            0.028384,           0.0064762,           0.0018015,            0.003664,            0.003664,            0.003664
                  66,            0.020623,            0.012378,           0.0012288,             0.77745,             0.75918,             0.75853,             0.41485,            0.028296,           0.0065467,           0.0015856,            0.003565,            0.003565,            0.003565
                  67,            0.021219,            0.012398,           0.0010618,             0.78323,             0.75995,             0.77021,             0.42018,            0.027794,           0.0065458,            0.001207,            0.003466,            0.003466,            0.003466
                  68,            0.021365,            0.012406,           0.0011869,             0.78808,             0.74921,             0.75605,             0.41121,            0.028476,           0.0066361,           0.0015399,            0.003367,            0.003367,            0.003367
                  69,            0.020651,            0.012563,          0.00093529,             0.78034,             0.74227,             0.73855,             0.40598,            0.029039,           0.0066628,           0.0008668,            0.003268,            0.003268,            0.003268
                  70,            0.020469,            0.012449,          0.00089041,             0.75014,             0.74034,             0.74441,             0.40609,            0.028496,           0.0065545,           0.0012655,            0.003169,            0.003169,            0.003169
                  71,            0.020768,            0.012444,          0.00081146,             0.78665,             0.74104,             0.77203,             0.42137,             0.02849,           0.0065361,            0.001626,             0.00307,             0.00307,             0.00307
                  72,            0.021589,            0.012135,          0.00088438,             0.77736,             0.74958,             0.76495,             0.42398,            0.028116,           0.0066087,           0.0010088,            0.002971,            0.002971,            0.002971
                  73,            0.020062,            0.012014,          0.00083413,             0.78845,             0.72191,             0.76243,              0.4251,            0.028783,           0.0066451,           0.0018106,            0.002872,            0.002872,            0.002872
                  74,            0.019565,            0.012092,          0.00082457,             0.79525,             0.75953,             0.78091,             0.42932,            0.028156,           0.0065236,           0.0012291,            0.002773,            0.002773,            0.002773
                  75,            0.020032,            0.011839,          0.00082074,             0.77486,             0.74294,             0.76486,             0.42471,            0.028535,           0.0066118,           0.0015872,            0.002674,            0.002674,            0.002674
                  76,            0.019771,            0.012111,           0.0010613,             0.79848,             0.75473,             0.76874,             0.42106,            0.028559,           0.0066333,            0.001256,            0.002575,            0.002575,            0.002575
                  77,            0.019134,            0.011947,            0.000733,             0.75599,             0.71725,             0.72765,             0.40324,            0.029101,           0.0067063,           0.0016361,            0.002476,            0.002476,            0.002476
                  78,            0.019791,            0.012018,          0.00066821,             0.78851,             0.74581,             0.75729,             0.40548,            0.029085,           0.0066795,            0.001141,            0.002377,            0.002377,            0.002377
                  79,            0.018965,            0.011841,          0.00071146,             0.79417,             0.75284,             0.76574,             0.41815,            0.028584,           0.0066632,           0.0012678,            0.002278,            0.002278,            0.002278
                  80,            0.018937,            0.012056,          0.00074386,             0.76714,             0.74179,             0.74018,             0.41523,             0.02897,           0.0067879,           0.0011445,            0.002179,            0.002179,            0.002179
                  81,            0.018994,            0.011861,          0.00056172,             0.77767,             0.75116,             0.77184,             0.42342,            0.028929,           0.0066026,           0.0014308,             0.00208,             0.00208,             0.00208
                  82,            0.018845,            0.011914,          0.00062313,             0.77395,             0.72988,             0.74516,             0.42324,            0.028369,           0.0068299,           0.0019899,            0.001981,            0.001981,            0.001981
                  83,             0.01937,            0.011718,          0.00060993,             0.79901,              0.7705,             0.78293,             0.41804,            0.028571,           0.0067104,           0.0011444,            0.001882,            0.001882,            0.001882
                  84,            0.018635,            0.011658,          0.00048957,             0.78965,             0.76168,              0.7557,             0.41297,            0.028877,           0.0067185,           0.0011133,            0.001783,            0.001783,            0.001783
                  85,            0.018235,            0.011645,          0.00042262,             0.78882,             0.75534,             0.77181,             0.42396,             0.02855,           0.0066115,            0.001039,            0.001684,            0.001684,            0.001684
                  86,            0.018172,             0.01148,          0.00045608,             0.78289,              0.7506,             0.76963,             0.42055,            0.028502,           0.0067757,          0.00092295,            0.001585,            0.001585,            0.001585
                  87,            0.017585,            0.011126,          0.00030408,              0.7802,             0.75819,             0.76532,              0.4141,            0.028637,           0.0068689,           0.0010574,            0.001486,            0.001486,            0.001486
                  88,            0.016694,            0.011016,          0.00021823,             0.77733,             0.75238,             0.75353,              0.4116,            0.028669,           0.0069003,          0.00095071,            0.001387,            0.001387,            0.001387
